tick,population,births_cum,deaths_cum,deaths_starvation,deaths_damage,deaths_predation,deaths_disaster,corpse_count,corpse_matter,corpse_energy,total_energy,total_biomass,nutrient_total,chemical_total,mean_age,max_age,max_generation,n_lineages,mean_body_size,mean_membrane_strength,mean_movement_power,mean_movement_efficiency,mean_sensory_range,mean_light_absorption,mean_chemical_absorption,mean_nutrient_absorption,mean_predation_efficiency,mean_corpse_digestion,mean_repair_rate,mean_damage_resistance,mean_reproduction_investment,mean_mutation_rate,var_body_size,var_membrane_strength,var_movement_power,var_movement_efficiency,var_sensory_range,var_light_absorption,var_chemical_absorption,var_nutrient_absorption,var_predation_efficiency,var_corpse_digestion,var_repair_rate,var_damage_resistance,var_reproduction_investment,var_mutation_rate
10980,496,5146,4650,4650,0,0,0,77,15.968882,0.0,16233.965045,587.834222,2676.196896,2269.432552,3003.63,10980,16,81,1.021456,0.507823,0.509234,0.992639,0.40041,0.341312,0.305398,0.497586,0.050454,0.200927,0.296728,0.497286,0.401021,0.052634,0.011241,0.003003,0.003919,0.012851,0.002152,0.003451,0.001618,0.003585,4.1e-05,0.00048,0.001017,0.004194,0.002609,0.000154
11000,496,5155,4659,4659,0,0,0,74,14.343043,0.0,16206.958311,593.309617,2672.34734,2270.95845,2990.57,11000,16,81,1.021754,0.507365,0.509556,0.993546,0.400573,0.341202,0.305232,0.49767,0.0505,0.201391,0.296768,0.49688,0.402258,0.052773,0.011474,0.002956,0.00399,0.012808,0.002134,0.00337,0.001659,0.003579,4e-05,0.000487,0.001031,0.004212,0.002626,0.000156
11020,505,5173,4668,4668,0,0,0,67,12.189177,0.0,16112.676835,598.597706,2669.213116,2272.828608,2953.77,11020,16,81,1.019318,0.507463,0.508934,0.9927,0.400865,0.341095,0.305466,0.498219,0.050589,0.201435,0.296839,0.497034,0.402768,0.052736,0.011172,0.002935,0.003886,0.012917,0.002139,0.003351,0.001661,0.00359,4.2e-05,0.000484,0.00102,0.004151,0.002701,0.000157
11040,505,5183,4678,4678,0,0,0,67,14.212442,0.0,15976.767282,605.606153,2660.181404,2274.178428,2968.68,11040,16,81,1.021059,0.508029,0.509193,0.992326,0.401164,0.341292,0.305348,0.497657,0.050666,0.201327,0.297138,0.497003,0.402785,0.052607,0.011065,0.002949,0.004013,0.012887,0.002165,0.003383,0.001633,0.003447,4.2e-05,0.000482,0.001021,0.004093,0.002706,0.000155
11060,501,5195,4694,4694,0,0,0,72,15.172747,0.0,15841.031701,599.712867,2665.114385,2275.132593,2988.61,11060,16,81,1.021039,0.508176,0.508969,0.99186,0.400842,0.340256,0.304741,0.497131,0.050735,0.201027,0.297064,0.497272,0.402241,0.052485,0.011098,0.002926,0.003878,0.012807,0.002144,0.003294,0.001605,0.00326,4.2e-05,0.000487,0.00101,0.003991,0.002725,0.000157
11080,501,5209,4708,4708,0,0,0,70,15.342012,0.0,15737.246241,597.987366,2666.670622,2274.852198,3001.29,11080,15,81,1.020341,0.508696,0.50893,0.991398,0.400231,0.340762,0.304369,0.497098,0.05067,0.201229,0.297297,0.497999,0.401704,0.052443,0.011322,0.003022,0.003915,0.012491,0.001916,0.003341,0.001604,0.003349,4.3e-05,0.00049,0.00102,0.004073,0.002631,0.000154
11100,491,5215,4724,4724,0,0,0,71,17.313903,0.0,15682.895085,591.700824,2670.985273,2276.152774,3040.18,11100,15,81,1.021567,0.508063,0.508721,0.99199,0.400275,0.340957,0.304063,0.496686,0.050628,0.201227,0.296969,0.497811,0.402412,0.052386,0.011247,0.002965,0.003779,0.012571,0.001895,0.003466,0.001595,0.003319,4.3e-05,0.0005,0.001004,0.003995,0.002611,0.000154
11120,490,5228,4738,4738,0,0,0,71,15.314606,0.0,15695.233671,586.876369,2677.809025,2278.336082,3056.4,11120,15,81,1.022052,0.508615,0.508427,0.991901,0.400635,0.34114,0.303485,0.497775,0.050395,0.201181,0.297749,0.498895,0.402507,0.052349,0.011231,0.002936,0.003795,0.011902,0.001908,0.003479,0.001516,0.00319,4.1e-05,0.000482,0.000988,0.003922,0.002615,0.000151
11140,489,5240,4751,4751,0,0,0,72,17.016694,0.0,15727.303613,584.721148,2678.262158,2280.502729,3061.75,11140,15,81,1.02098,0.507706,0.507998,0.991341,0.400373,0.340923,0.303146,0.497793,0.05051,0.20122,0.297113,0.498683,0.401403,0.052324,0.011115,0.002944,0.003746,0.011874,0.001902,0.003451,0.001481,0.003243,4.4e-05,0.000491,0.000968,0.003903,0.002569,0.000145
11160,486,5252,4766,4766,0,0,0,76,18.233599,0.0,15769.934193,581.327019,2680.439382,2280.095253,3081.11,11160,15,81,1.021846,0.507435,0.507747,0.991158,0.399634,0.341849,0.303154,0.498186,0.05049,0.20168,0.297356,0.498819,0.400792,0.052178,0.010967,0.002911,0.003711,0.011941,0.001923,0.003712,0.001458,0.003195,4.4e-05,0.000485,0.000962,0.00391,0.00256,0.000146
11180,488,5267,4779,4779,0,0,0,74,17.734761,0.0,15835.019744,579.973812,2682.291426,2278.746642,3064.85,11180,15,81,1.021044,0.507506,0.507954,0.988945,0.399334,0.342055,0.303664,0.498609,0.050583,0.201755,0.297167,0.498176,0.401497,0.052225,0.010999,0.002907,0.003792,0.01294,0.001953,0.003818,0.001489,0.003229,4.3e-05,0.000476,0.000965,0.00379,0.002632,0.000145
11200,492,5283,4791,4791,0,0,0,78,21.569152,0.0,15855.863255,580.8834,2677.547448,2274.809356,3043.51,11200,15,81,1.018422,0.506428,0.508263,0.991219,0.398873,0.341838,0.303273,0.497689,0.05058,0.201897,0.29695,0.497723,0.400802,0.052438,0.010758,0.002882,0.003732,0.013163,0.002001,0.00379,0.001491,0.003246,4.5e-05,0.000458,0.000964,0.003781,0.002817,0.000146
