tick,lineage_id,population,frac,births_cum,mean_body_size,mean_light_absorption,mean_reproduction_investment,mean_mutation_rate,occupied_cells,centroid_x,centroid_y,mean_radius_from_centroid,mean_move_per_org_tick,mean_local_light,vent_cell_frac,mean_chemical_absorption
2580,99,9,0.028846,35,1.015774,0.28086,0.395488,0.05107,5,160.814,296.746,10.148,0.0,0.8885,0.0,0.302968
2580,11,8,0.025641,21,1.027462,0.319831,0.389388,0.050108,4,578.956,61.501,5.161,0.0,1.137,0.0,0.303964
2580,29,8,0.025641,17,0.98445,0.306536,0.411471,0.044292,4,119.274,142.728,7.779,0.0,1.053,0.0,0.295291
2580,50,8,0.025641,19,1.015524,0.298905,0.413607,0.056444,4,279.109,77.345,7.678,0.0,1.116,0.0,0.278042
2580,75,8,0.025641,22,0.984475,0.306123,0.401767,0.049294,4,739.096,222.013,6.799,0.0,0.966375,0.0,0.274854
2580,82,8,0.025641,16,1.140234,0.33753,0.465244,0.050227,4,252.105,122.076,16.52,0.0,1.074,0.0,0.287612
2580,0,7,0.022436,18,0.952625,0.335218,0.403755,0.040701,4,558.531,238.86,6.991,0.0,0.9465,0.0,0.3173
2600,71,10,0.031949,13,1.059477,0.297112,0.405549,0.0534,4,561.937,19.091,5.838,0.0,1.179,0.0,0.302056
2600,99,9,0.028754,35,1.015774,0.28086,0.395488,0.05107,5,160.814,296.746,10.148,0.0,0.8885,0.0,0.302968
2600,0,8,0.025559,19,0.951879,0.339179,0.404134,0.042027,4,559.081,237.898,7.091,0.0,0.948,0.0,0.317873
2600,11,8,0.025559,21,1.027462,0.319831,0.389388,0.050108,4,578.956,61.501,5.161,0.0,1.137,0.0,0.303964
2600,29,8,0.025559,17,0.98445,0.306536,0.411471,0.044292,4,119.274,142.728,7.779,0.0,1.053,0.0,0.295291
2600,50,8,0.025559,19,1.015524,0.298905,0.413607,0.056444,4,279.109,77.345,7.678,0.0,1.116,0.0,0.278042
2600,75,8,0.025559,22,0.984475,0.306123,0.401767,0.049294,4,739.096,222.013,6.799,0.0,0.966375,0.0,0.274854
2600,82,8,0.025559,16,1.140234,0.33753,0.465244,0.050227,4,252.105,122.076,16.52,0.0,1.074,0.0,0.287612
2620,71,11,0.035144,14,1.065625,0.297971,0.411938,0.053511,4,562.335,18.693,5.85,0.0,1.179955,0.0,0.299119
2620,0,8,0.025559,19,0.951879,0.339179,0.404134,0.042027,4,559.081,237.898,7.091,0.0,0.948,0.0,0.317873
2620,11,8,0.025559,21,1.027462,0.319831,0.389388,0.050108,4,578.956,61.501,5.161,0.0,1.137,0.0,0.303964
2620,29,8,0.025559,17,0.98445,0.306536,0.411471,0.044292,4,119.274,142.728,7.779,0.0,1.053,0.0,0.295291
2620,37,8,0.025559,30,0.926979,0.296498,0.379898,0.044203,4,142.678,218.431,6.136,0.0,0.971625,0.875,0.319085
2620,50,8,0.025559,19,1.015524,0.298905,0.413607,0.056444,4,279.109,77.345,7.678,0.0,1.116,0.0,0.278042
2620,75,8,0.025559,22,0.984475,0.306123,0.401767,0.049294,4,739.096,222.013,6.799,0.0,0.966375,0.0,0.274854
2620,82,8,0.025559,16,1.140234,0.33753,0.465244,0.050227,4,252.105,122.076,16.52,0.0,1.074,0.0,0.287612
2640,71,11,0.0347,14,1.065625,0.297971,0.411938,0.053511,4,562.335,18.693,5.85,0.0,1.179955,0.0,0.299119
2640,75,9,0.028391,23,0.978147,0.304203,0.401476,0.04957,4,738.914,221.091,6.895,0.0,0.967833,0.0,0.27548
2640,99,9,0.028391,37,1.014165,0.294108,0.392841,0.05332,5,160.857,292.53,9.674,0.0,0.890833,0.0,0.306308
2640,0,8,0.025237,19,0.951879,0.339179,0.404134,0.042027,4,559.081,237.898,7.091,0.0,0.948,0.0,0.317873
2640,11,8,0.025237,21,1.027462,0.319831,0.389388,0.050108,4,578.956,61.501,5.161,0.0,1.137,0.0,0.303964
2640,29,8,0.025237,17,0.98445,0.306536,0.411471,0.044292,4,119.274,142.728,7.779,0.0,1.053,0.0,0.295291
2640,37,8,0.025237,30,0.926979,0.296498,0.379898,0.044203,4,142.678,218.431,6.136,0.0,0.971625,0.875,0.319085
2640,50,8,0.025237,19,1.015524,0.298905,0.413607,0.056444,4,279.109,77.345,7.678,0.0,1.116,0.0,0.278042
2660,71,11,0.0347,14,1.065625,0.297971,0.411938,0.053511,4,562.335,18.693,5.85,0.0,1.179955,0.0,0.299119
2660,75,9,0.028391,23,0.978147,0.304203,0.401476,0.04957,4,738.914,221.091,6.895,0.0,0.967833,0.0,0.27548
2660,99,9,0.028391,38,1.02654,0.287252,0.394044,0.051589,5,161.092,293.103,10.245,0.0,0.890833,0.0,0.304314
2660,11,8,0.025237,21,1.027462,0.319831,0.389388,0.050108,4,578.956,61.501,5.161,0.0,1.137,0.0,0.303964
2660,29,8,0.025237,17,0.98445,0.306536,0.411471,0.044292,4,119.274,142.728,7.779,0.0,1.053,0.0,0.295291
2660,37,8,0.025237,30,0.926979,0.296498,0.379898,0.044203,4,142.678,218.431,6.136,0.0,0.971625,0.875,0.319085
