tick,lineage_id,population,frac,births_cum,mean_body_size,mean_light_absorption,mean_reproduction_investment,mean_mutation_rate
18240,37,15,0.025862,105,1.004412,0.298832,0.386418,0.043951
18240,2,14,0.024138,118,0.898061,0.384136,0.392641,0.050656
18260,99,20,0.034483,170,0.894715,0.54371,0.520351,0.057019
18260,10,17,0.02931,61,1.103714,0.388195,0.418521,0.068926
18260,57,17,0.02931,257,1.150637,0.406447,0.534429,0.0423
18260,60,17,0.02931,203,1.054959,0.457577,0.477675,0.049706
18260,74,17,0.02931,152,1.269709,0.414513,0.430801,0.066617
18260,72,16,0.027586,134,0.925036,0.686581,0.52985,0.080285
18260,37,15,0.025862,105,1.004412,0.298832,0.386418,0.043951
18260,2,14,0.024138,118,0.898061,0.384136,0.392641,0.050656
18280,99,20,0.034483,170,0.894715,0.54371,0.520351,0.057019
18280,57,18,0.031034,258,1.150842,0.405459,0.532804,0.042702
18280,10,17,0.02931,61,1.103714,0.388195,0.418521,0.068926
18280,60,17,0.02931,203,1.054959,0.457577,0.477675,0.049706
18280,74,17,0.02931,152,1.269709,0.414513,0.430801,0.066617
18280,72,16,0.027586,134,0.925036,0.686581,0.52985,0.080285
18280,56,15,0.025862,202,1.116843,0.559709,0.442471,0.082855
18280,2,14,0.024138,118,0.898061,0.384136,0.392641,0.050656
18300,57,18,0.031196,258,1.150842,0.405459,0.532804,0.042702
18300,99,18,0.031196,170,0.892653,0.539324,0.517947,0.058292
18300,10,16,0.02773,61,1.097796,0.388286,0.422482,0.066979
18300,60,16,0.02773,203,1.063984,0.452714,0.48,0.048755
18300,72,16,0.02773,134,0.925036,0.686581,0.52985,0.080285
18300,74,16,0.02773,152,1.248787,0.411987,0.430542,0.064081
18300,2,15,0.025997,119,0.897595,0.383062,0.390058,0.05117
18300,56,15,0.025997,202,1.116843,0.559709,0.442471,0.082855
18320,57,18,0.031359,258,1.150842,0.405459,0.532804,0.042702
18320,99,18,0.031359,170,0.892653,0.539324,0.517947,0.058292
18320,10,16,0.027875,62,1.115835,0.392724,0.417923,0.065269
18320,72,16,0.027875,134,0.925036,0.686581,0.52985,0.080285
18320,74,16,0.027875,153,1.244416,0.412932,0.434784,0.064655
18320,2,15,0.026132,119,0.897595,0.383062,0.390058,0.05117
18320,60,15,0.026132,203,1.052396,0.451238,0.476841,0.05016
18320,47,14,0.02439,161,1.262504,0.426475,0.379274,0.063304
18340,99,18,0.03125,170,0.892653,0.539324,0.517947,0.058292
18340,2,16,0.027778,120,0.904383,0.386432,0.385353,0.051188
18340,57,16,0.027778,258,1.159116,0.408315,0.532387,0.042313
18340,60,16,0.027778,204,1.056569,0.452218,0.481675,0.048802
18340,72,16,0.027778,134,0.925036,0.686581,0.52985,0.080285
18340,74,16,0.027778,153,1.244416,0.412932,0.434784,0.064655
18340,10,14,0.024306,62,1.111311,0.389539,0.423295,0.067416
18340,37,14,0.024306,106,0.999435,0.297865,0.387063,0.045597
18360,99,18,0.031359,170,0.892653,0.539324,0.517947,0.058292
18360,57,17,0.029617,259,1.152053,0.406333,0.532569,0.042856
18360,2,16,0.027875,120,0.904383,0.386432,0.385353,0.051188
18360,72,16,0.027875,134,0.925036,0.686581,0.52985,0.080285
18360,74,16,0.027875,153,1.244416,0.412932,0.434784,0.064655
18360,56,15,0.026132,203,1.111119,0.559159,0.443248,0.082609
18360,60,15,0.026132,204,1.041645,0.449757,0.479098,0.050039
18360,37,14,0.02439,107,0.99203,0.303023,0.385822,0.044367
18380,99,18,0.031414,170,0.892653,0.539324,0.517947,0.058292
18380,57,17,0.029668,259,1.152053,0.406333,0.532569,0.042856
18380,74,17,0.029668,154,1.257477,0.420142,0.433656,0.066602
18380,2,16,0.027923,120,0.904383,0.386432,0.385353,0.051188
18380,72,16,0.027923,134,0.925036,0.686581,0.52985,0.080285
18380,60,15,0.026178,204,1.041645,0.449757,0.479098,0.050039
18380,10,14,0.024433,63,1.112092,0.390194,0.42269,0.068523
18380,37,14,0.024433,107,0.99203,0.303023,0.385822,0.044367
18400,99,18,0.031142,171,0.890827,0.54056,0.517373,0.057919
18400,57,17,0.029412,259,1.152053,0.406333,0.532569,0.042856
18400,72,17,0.029412,135,0.927254,0.667309,0.522383,0.079629
18400,74,17,0.029412,154,1.257477,0.420142,0.433656,0.066602
18400,2,16,0.027682,120,0.904383,0.386432,0.385353,0.051188
18400,60,15,0.025952,204,1.041645,0.449757,0.479098,0.050039
18400,10,14,0.024221,63,1.112092,0.390194,0.42269,0.068523
18400,37,14,0.024221,107,0.99203,0.303023,0.385822,0.044367
18420,57,19,0.032929,261,1.146975,0.401528,0.533311,0.042851
18420,99,18,0.031196,172,0.901874,0.550853,0.517136,0.056633
18420,2,16,0.02773,120,0.904383,0.386432,0.385353,0.051188
18420,72,16,0.02773,135,0.924992,0.674057,0.523373,0.080836
18420,10,15,0.025997,64,1.118344,0.390099,0.426942,0.06789
18420,37,15,0.025997,108,0.986492,0.29962,0.38786,0.045022
18420,60,15,0.025997,204,1.041645,0.449757,0.479098,0.050039
18420,74,15,0.025997,154,1.244111,0.418839,0.44228,0.065149
18440,57,18,0.031304,262,1.144036,0.400056,0.531686,0.043106
18440,99,18,0.031304,172,0.901874,0.550853,0.517136,0.056633
18440,60,16,0.027826,205,1.035835,0.452923,0.477665,0.051848
18440,72,16,0.027826,135,0.924992,0.674057,0.523373,0.080836
18440,2,15,0.026087,120,0.90527,0.387658,0.38745,0.05071
18440,10,15,0.026087,64,1.118344,0.390099,0.426942,0.06789
18440,37,15,0.026087,108,0.986492,0.29962,0.38786,0.045022
18440,74,15,0.026087,154,1.244111,0.418839,0.44228,0.065149
18460,99,18,0.030875,172,0.901874,0.550853,0.517136,0.056633
18460,57,17,0.02916,262,1.132106,0.396433,0.533018,0.043331
18460,60,17,0.02916,206,1.043194,0.452989,0.480308,0.05024
18460,72,16,0.027444,135,0.924992,0.674057,0.523373,0.080836
18460,2,15,0.025729,120,0.90527,0.387658,0.38745,0.05071
18460,10,15,0.025729,64,1.118344,0.390099,0.426942,0.06789
18460,37,15,0.025729,108,0.986492,0.29962,0.38786,0.045022
18460,74,15,0.025729,154,1.244111,0.418839,0.44228,0.065149
18480,57,18,0.03056,263,1.12501,0.395027,0.537692,0.04393
18480,99,18,0.03056,172,0.901874,0.550853,0.517136,0.056633
18480,60,17,0.028862,206,1.043194,0.452989,0.480308,0.05024
18480,10,16,0.027165,65,1.118652,0.389754,0.424495,0.068399
18480,37,16,0.027165,109,0.988472,0.298179,0.390031,0.044672
