tick,population,births_cum,deaths_cum,deaths_starvation,deaths_damage,deaths_predation,deaths_disaster,corpse_count,corpse_matter,corpse_energy,total_energy,total_biomass,nutrient_total,chemical_total,mean_age,max_age,max_generation,n_lineages,light_supply_cum,flow_light_cum,flow_chemical_cum,flow_nutrient_cum,flow_corpse_matter_cum,flow_corpse_energy_cum,flow_predation_energy_cum,flow_predation_matter_cum,top_lineage_id,top_lineage_frac,pop_north_band,pop_middle_band,pop_south_band,frac_north_band,frac_middle_band,frac_south_band,mean_local_light,vent_cell_population,vent_cell_frac,mean_move_per_org_tick,mean_body_size,mean_membrane_strength,mean_movement_power,mean_movement_efficiency,mean_sensory_range,mean_light_absorption,mean_chemical_absorption,mean_nutrient_absorption,mean_predation_efficiency,mean_corpse_digestion,mean_repair_rate,mean_damage_resistance,mean_reproduction_investment,mean_mutation_rate,var_body_size,var_membrane_strength,var_movement_power,var_movement_efficiency,var_sensory_range,var_light_absorption,var_chemical_absorption,var_nutrient_absorption,var_predation_efficiency,var_corpse_digestion,var_repair_rate,var_damage_resistance,var_reproduction_investment,var_mutation_rate
4080,301,1239,938,938,0,0,0,34,5.286509,0.0,9822.733123,352.531226,2922.182265,2450.0,2225.76,4080,6,79,5091840.0,540077.151,1276.2722,1361.466,27.2663,0.0,0.0,0.0,71,0.033223,114,169,18,0.378738,0.561462,0.059801,0.916709,8,0.026578,0.001007,0.986573,0.49656,0.49731,1.002278,0.401841,0.312231,0.300142,0.499838,0.050175,0.199103,0.305928,0.495387,0.40341,0.049013,0.005931,0.001089,0.00124,0.005951,0.000658,0.00096,0.000388,0.000797,1.3e-05,0.000195,0.000558,0.00106,0.001103,4.6e-05
4100,301,1244,943,943,0,0,0,35,5.90736,0.0,9867.052507,350.947931,2923.14471,2450.0,2226.48,4100,6,79,5116800.0,543169.1955,1277.7572,1365.9423,27.4602,0.0,0.0,0.0,71,0.0299,113,170,18,0.375415,0.564784,0.059801,0.914756,7,0.023256,0.000522,0.985325,0.495983,0.496802,1.002613,0.401609,0.312289,0.300377,0.500413,0.050114,0.199046,0.306196,0.496021,0.403681,0.048915,0.005968,0.001124,0.001221,0.005882,0.000669,0.000965,0.000387,0.000764,1.3e-05,0.000192,0.000555,0.001072,0.001109,4.5e-05
4120,300,1248,948,948,0,0,0,37,6.450746,0.0,9935.676042,350.199204,2923.35005,2450.0,2237.59,4120,6,79,5141760.0,546273.8655,1279.2422,1370.9551,27.4938,0.0,0.0,0.0,26,0.026667,114,167,19,0.38,0.556667,0.063333,0.91468,7,0.023333,0.000698,0.986557,0.496384,0.497527,1.002946,0.401821,0.312429,0.300313,0.500865,0.050104,0.199084,0.306553,0.496057,0.404176,0.048798,0.00601,0.001128,0.001209,0.00588,0.000667,0.000967,0.000387,0.000801,1.3e-05,0.00019,0.000555,0.001058,0.001099,4.5e-05
4140,306,1257,951,951,0,0,0,35,5.159663,0.0,9986.15393,352.505552,2922.334785,2450.0,2191.87,4140,6,79,5166720.0,549384.228,1280.7272,1376.8006,27.6119,0.0,0.0,0.0,71,0.03268,113,173,20,0.369281,0.565359,0.065359,0.911078,7,0.022876,0.0,0.985453,0.496197,0.497371,1.00286,0.401347,0.312791,0.300538,0.50082,0.050133,0.198918,0.306201,0.495923,0.40399,0.048993,0.006039,0.001134,0.001233,0.006178,0.000713,0.000948,0.000401,0.000827,1.3e-05,0.000194,0.000573,0.001096,0.001089,4.6e-05
4160,301,1261,960,960,0,0,0,36,8.018561,0.0,10029.390364,349.547634,2922.433805,2450.0,2213.21,4160,6,79,5191680.0,552499.248,1282.2122,1384.216,27.9442,0.0,0.0,0.0,71,0.0299,114,167,20,0.378738,0.554817,0.066445,0.912593,7,0.023256,0.000923,0.985747,0.495848,0.497539,1.001972,0.401246,0.313291,0.300663,0.500954,0.050115,0.198891,0.306071,0.497309,0.403716,0.049159,0.005899,0.001135,0.001254,0.006034,0.000716,0.000934,0.000411,0.000811,1.3e-05,0.000198,0.000564,0.001096,0.00101,4.6e-05
4180,306,1271,965,965,0,0,0,32,6.262255,0.0,10080.687612,352.60092,2921.136825,2450.0,2166.38,4180,6,79,5216640.0,555618.255,1283.6972,1393.0079,28.1464,0.0,0.0,0.0,71,0.029412,115,170,21,0.375817,0.555556,0.068627,0.910186,7,0.022876,0.000899,0.98748,0.495441,0.497831,1.001731,0.401191,0.313035,0.30064,0.501107,0.049985,0.198768,0.305662,0.497388,0.403787,0.049252,0.006351,0.001177,0.001256,0.006051,0.000733,0.000924,0.000426,0.000811,1.3e-05,0.000196,0.000527,0.001081,0.00099,5e-05
4200,306,1275,969,969,0,0,0,31,5.387874,0.0,10115.525867,356.743567,2917.868559,2450.0,2183.98,4200,6,79,5241600.0,558746.565,1285.1822,1401.7217,28.1464,0.0,0.0,0.0,87,0.029412,114,172,20,0.372549,0.562092,0.065359,0.90998,6,0.019608,0.000436,0.987809,0.494849,0.497652,1.002346,0.400983,0.31309,0.30068,0.500796,0.049893,0.198764,0.305784,0.497819,0.403945,0.049235,0.006404,0.001214,0.001251,0.006087,0.000736,0.000984,0.000432,0.000805,1.3e-05,0.000191,0.000515,0.00105,0.000983,5e-05
4220,308,1280,972,972,0,0,0,30,4.951585,0.0,10117.70273,360.062499,2914.985915,2450.0,2180.89,4220,6,79,5266560.0,561874.875,1286.6672,1408.2866,28.1464,0.0,0.0,0.0,26,0.029221,115,173,20,0.373377,0.561688,0.064935,0.909614,6,0.019481,0.000227,0.988981,0.495121,0.497602,1.001487,0.400897,0.313075,0.300699,0.500991,0.049902,0.198667,0.305822,0.49742,0.403023,0.049085,0.006475,0.00122,0.001211,0.006131,0.00073,0.000973,0.000429,0.000828,1.3e-05,0.000191,0.000508,0.001057,0.00099,4.9e-05
4240,310,1290,980,980,0,0,0,36,7.58802,0.0,10120.12783,357.842326,2914.569654,2450.0,2180.81,4240,6,79,5291520.0,565006.5015,1288.1522,1415.3886,28.2153,0.0,0.0,0.0,26,0.029032,117,174,19,0.377419,0.56129,0.06129,0.9102,7,0.022581,0.001443,0.988068,0.495521,0.497596,1.000433,0.40111,0.313516,0.300784,0.500363,0.049993,0.198795,0.306391,0.498056,0.402219,0.049239,0.006515,0.001252,0.001264,0.006242,0.000749,0.000963,0.000437,0.000854,1.3e-05,0.000188,0.000513,0.001056,0.000965,4.9e-05
4260,308,1292,984,984,0,0,0,34,5.274286,0.0,10154.314901,359.690981,2915.034733,2450.0,2212.28,4260,6,79,5316480.0,568156.9215,1289.6372,1422.159,28.4522,0.0,0.0,0.0,26,0.029221,119,170,19,0.386364,0.551948,0.061688,0.913841,7,0.022727,0.001351,0.986776,0.495245,0.497629,1.000728,0.40153,0.313951,0.301038,0.500443,0.049995,0.198749,0.3063,0.498266,0.401981,0.049302,0.006368,0.001204,0.001277,0.006324,0.00073,0.000967,0.000446,0.000856,1.3e-05,0.00019,0.000494,0.001074,0.000947,4.9e-05
