tick,lineage_id,population,frac,births_cum,mean_body_size,mean_light_absorption,mean_reproduction_investment,mean_mutation_rate
13020,90,17,0.033203,211,1.050821,0.434019,0.372279,0.063757
13020,40,15,0.029297,59,0.88681,0.326962,0.368154,0.053792
13020,60,14,0.027344,169,0.89496,0.320154,0.392487,0.039112
13020,54,12,0.023438,181,1.177076,0.60003,0.394642,0.067784
13020,64,12,0.023438,134,1.000594,0.35884,0.42792,0.050622
13040,99,20,0.038685,115,0.946176,0.317738,0.463975,0.051258
13040,76,18,0.034816,118,1.119591,0.445246,0.393159,0.057751
13040,35,17,0.032882,105,0.791757,0.434948,0.31797,0.077872
13040,90,16,0.030948,211,1.045655,0.438469,0.372002,0.066026
13040,40,14,0.027079,59,0.892143,0.32872,0.369387,0.053525
13040,60,13,0.025145,169,0.897401,0.317803,0.388321,0.039624
13040,64,13,0.025145,135,1.00314,0.357859,0.431337,0.051535
13040,54,12,0.023211,181,1.177076,0.60003,0.394642,0.067784
13060,99,20,0.038835,116,0.950848,0.316255,0.469067,0.050727
13060,76,18,0.034951,118,1.119591,0.445246,0.393159,0.057751
13060,35,17,0.03301,105,0.791757,0.434948,0.31797,0.077872
13060,90,16,0.031068,211,1.045655,0.438469,0.372002,0.066026
13060,54,14,0.027184,183,1.169212,0.587014,0.385233,0.066411
13060,64,14,0.027184,136,1.005405,0.358501,0.435595,0.050778
13060,40,13,0.025243,59,0.882351,0.334057,0.372169,0.053859
13060,60,12,0.023301,169,0.891672,0.315811,0.391586,0.039092
13080,99,20,0.038685,116,0.950848,0.316255,0.469067,0.050727
13080,35,17,0.032882,105,0.791757,0.434948,0.31797,0.077872
13080,76,17,0.032882,118,1.124391,0.443567,0.395234,0.057842
13080,90,16,0.030948,211,1.045655,0.438469,0.372002,0.066026
13080,54,14,0.027079,183,1.169212,0.587014,0.385233,0.066411
13080,64,14,0.027079,136,1.005405,0.358501,0.435595,0.050778
13080,40,13,0.025145,59,0.882351,0.334057,0.372169,0.053859
13080,23,12,0.023211,162,1.092518,0.300213,0.379681,0.066223
13100,99,21,0.040541,118,0.933859,0.318594,0.473921,0.0516
13100,35,17,0.032819,105,0.791757,0.434948,0.31797,0.077872
13100,76,17,0.032819,118,1.124391,0.443567,0.395234,0.057842
13100,54,16,0.030888,185,1.183474,0.59126,0.388922,0.066466
13100,90,16,0.030888,212,1.063269,0.433748,0.375164,0.063179
13100,64,14,0.027027,136,1.005405,0.358501,0.435595,0.050778
13100,40,13,0.025097,59,0.882351,0.334057,0.372169,0.053859
13100,53,12,0.023166,71,0.856703,0.47141,0.414949,0.059299
13120,99,21,0.039924,118,0.933859,0.318594,0.473921,0.0516
13120,35,19,0.036122,107,0.782457,0.431265,0.319163,0.076353
13120,54,16,0.030418,185,1.183474,0.59126,0.388922,0.066466
13120,76,16,0.030418,118,1.118575,0.436858,0.395314,0.058273
13120,90,16,0.030418,212,1.063269,0.433748,0.375164,0.063179
13120,40,13,0.024715,59,0.882351,0.334057,0.372169,0.053859
13120,64,13,0.024715,136,1.001257,0.360061,0.433828,0.049117
13120,89,13,0.024715,88,1.001389,0.428883,0.362802,0.055611
13140,99,20,0.038462,118,0.937575,0.319266,0.47693,0.052013
13140,35,18,0.034615,107,0.787439,0.43274,0.319442,0.075859
13140,54,16,0.030769,185,1.183474,0.59126,0.388922,0.066466
13140,76,16,0.030769,118,1.118575,0.436858,0.395314,0.058273
13140,90,16,0.030769,213,1.054298,0.432054,0.374801,0.063494
13140,40,12,0.023077,59,0.883006,0.331618,0.369509,0.05417
13140,64,12,0.023077,136,0.999235,0.359517,0.439373,0.049454
13140,77,12,0.023077,133,1.113334,0.351834,0.412678,0.050898
13160,99,21,0.04,119,0.937669,0.318029,0.47626,0.051936
13160,35,18,0.034286,107,0.787439,0.43274,0.319442,0.075859
13160,76,16,0.030476,118,1.118575,0.436858,0.395314,0.058273
13160,90,16,0.030476,213,1.054298,0.432054,0.374801,0.063494
13160,54,15,0.028571,186,1.18469,0.595568,0.39253,0.067856
13160,40,12,0.022857,59,0.883006,0.331618,0.369509,0.05417
13160,64,12,0.022857,136,0.999235,0.359517,0.439373,0.049454
13160,53,11,0.020952,71,0.863376,0.472387,0.412871,0.058862
13180,99,20,0.037594,119,0.932847,0.318014,0.482096,0.051847
13180,35,18,0.033835,107,0.787439,0.43274,0.319442,0.075859
13180,76,16,0.030075,118,1.118575,0.436858,0.395314,0.058273
13180,54,15,0.028195,186,1.18469,0.595568,0.39253,0.067856
13180,90,15,0.028195,213,1.061098,0.433595,0.375564,0.062182
13180,40,12,0.022556,59,0.883006,0.331618,0.369509,0.05417
13180,64,12,0.022556,136,0.999235,0.359517,0.439373,0.049454
13180,89,12,0.022556,89,1.009336,0.430226,0.365131,0.054796
13200,99,21,0.039548,120,0.934762,0.316688,0.47972,0.051297
13200,35,17,0.032015,107,0.781548,0.440497,0.314719,0.077069
13200,76,16,0.030132,118,1.118575,0.436858,0.395314,0.058273
13200,90,15,0.028249,213,1.061098,0.433595,0.375564,0.062182
13200,54,14,0.026365,186,1.193189,0.604409,0.39659,0.068665
13200,40,13,0.024482,60,0.878041,0.335632,0.368991,0.053369
13200,64,12,0.022599,136,0.999235,0.359517,0.439373,0.049454
13200,89,12,0.022599,89,1.009336,0.430226,0.365131,0.054796
13220,99,20,0.038314,120,0.933813,0.31676,0.475665,0.051178
13220,35,17,0.032567,107,0.781548,0.440497,0.314719,0.077069
13220,76,16,0.030651,118,1.118575,0.436858,0.395314,0.058273
13220,90,14,0.02682,213,1.056509,0.430545,0.375454,0.061746
13220,40,13,0.024904,60,0.878041,0.335632,0.368991,0.053369
