condition,seed,final_tick,final_pop,completed,mean_body_size,vent_frac_mean,hi_q_frac_mean,move_mean,q_mean,dq_abs_mean,sigma_eff_mean,light_flow_cum,chem_flow_cum,light_supply_cum,deaths_starvation,n_lineages,band_d0_1_n,band_d0_1_chem_e,band_d0_1_light_e,band_d0_1_sigma,band_d1_2_n,band_d1_2_chem_e,band_d1_2_light_e,band_d1_2_sigma,band_d2_4_n,band_d2_4_chem_e,band_d2_4_light_e,band_d2_4_sigma,band_d4plus_n,band_d4plus_chem_e,band_d4plus_light_e,band_d4plus_sigma
b2_chem_only_chemspec_treatment,10,10000,126,True,0.629329,0.844027,1.0,0.730764,0.126793,0.028493,0.528929,0.0,477341.4095,0.0,1554,3,72583.0,41604.3636,0.0,0.507735,514859.0,313513.2695,0.0,0.509769,307787.0,122223.7783,0.0,0.561648,1301.0,0.0,0.0,0.534178
b2_chem_only_chemspec_treatment,11,10000,102,True,0.797273,0.850535,1.0,0.694867,0.133182,0.029214,0.527526,0.0,456165.8067,0.0,1302,4,62766.0,40632.7448,0.0,0.499116,438433.0,302283.5086,0.0,0.509975,251423.0,113249.5559,0.0,0.56149,794.0,0.0,0.0,0.533279
b2_chem_only_chemspec_treatment,12,10000,109,True,0.759969,0.854662,1.0,0.667585,0.127625,0.027605,0.525773,0.0,479930.5804,0.0,1362,4,69705.0,41605.3635,0.0,0.506079,488829.0,313955.8865,0.0,0.510566,286199.0,124369.3278,0.0,0.553659,697.0,0.0,0.0,0.539747
b2_chem_only_chemspec_treatment,13,10000,121,True,0.67919,0.864874,1.0,0.694607,0.131986,0.028269,0.526386,0.0,482567.4136,0.0,1251,3,70778.0,41540.7315,0.0,0.513273,512934.0,330974.8767,0.0,0.512484,256511.0,110051.8065,0.0,0.555419,643.0,0.0,0.0,0.529962
b2_chem_only_chemspec_treatment,14,10000,95,True,0.830349,0.843394,1.0,0.656066,0.130587,0.028574,0.527501,0.0,459914.2761,0.0,1242,4,61562.0,40067.2271,0.0,0.513814,427028.0,297975.8065,0.0,0.509504,267337.0,121871.244,0.0,0.557298,541.0,0.0,0.0,0.526074
b2_chem_only_chemspec_treatment,15,10000,85,True,0.820115,0.839847,1.0,0.76673,0.133554,0.030551,0.528368,0.0,458621.843,0.0,1206,4,61145.0,40152.8581,0.0,0.502976,433636.0,304024.003,0.0,0.509442,260266.0,114444.9817,0.0,0.562996,1305.0,0.0,0.0,0.52877
b2_chem_only_chemspec_treatment,16,10000,93,True,0.835952,0.845311,1.0,0.661719,0.1281,0.028159,0.528446,0.0,465521.3626,0.0,1350,5,62747.0,40768.4011,0.0,0.505926,437957.0,299909.2808,0.0,0.511633,276030.0,124843.6798,0.0,0.557455,809.0,0.0,0.0,0.531832
b2_chem_only_chemspec_treatment,17,10000,104,True,0.740057,0.843468,1.0,0.688112,0.130245,0.02872,0.528377,0.0,460668.0903,0.0,1441,5,66696.0,40495.2097,0.0,0.506179,450341.0,297845.134,0.0,0.509331,280183.0,122327.7475,0.0,0.561315,884.0,0.0,0.0,0.54338
b2_chem_only_chemspec_treatment,18,10000,82,True,0.869463,0.854014,1.0,0.668318,0.131037,0.02854,0.526731,0.0,465617.7781,0.0,1257,3,63330.0,40175.6997,0.0,0.504647,437221.0,300345.7305,0.0,0.508709,270847.0,125096.3468,0.0,0.559079,748.0,0.0,0.0,0.522818
b2_chem_only_chemspec_treatment,19,10000,83,True,0.87964,0.833691,1.0,0.719504,0.132558,0.029897,0.528068,0.0,448346.3164,0.0,1250,6,58310.0,39564.8939,0.0,0.506949,409117.0,289936.7465,0.0,0.509478,265847.0,118844.6762,0.0,0.558875,885.0,0.0,0.0,0.533354
b2_chem_only_chemspec_treatment,20,10000,138,True,0.567767,0.870988,1.0,0.729352,0.134599,0.027812,0.527261,0.0,493215.7437,0.0,1309,3,78401.0,41955.1246,0.0,0.526359,552614.0,339602.8458,0.0,0.506676,271497.0,111657.7743,0.0,0.567237,618.0,0.0,0.0,0.535577
